filename,region_shape_attributes,region_attributes
1a.jpeg,"{'name': 'circle', 'cx': 441, 'cy': 631, 'r': 3.169}",{'Acne scars ': '1'}
1a.jpeg,"{'name': 'circle', 'cx': 455, 'cy': 632, 'r': 6.46}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1\n', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
1a.jpeg,"{'name': 'circle', 'cx': 408, 'cy': 662, 'r': 10}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 335, 'cy': 406, 'r': 12}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 358, 'cy': 285, 'r': 6}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 515, 'cy': 357, 'r': 6}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 307, 'cy': 313, 'r': 5.975}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 579, 'cy': 607, 'r': 8}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 630, 'cy': 581, 'r': 8}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 642, 'cy': 608, 'r': 7}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 490, 'cy': 722, 'r': 9.843}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 598, 'cy': 739, 'r': 15}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 284, 'cy': 653, 'r': 10}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b1.jpeg,"{'name': 'circle', 'cx': 453, 'cy': 870, 'r': 10}","{'Wrinkels': '1', 'Melasma': '', 'Frackels': '', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b2.jpeg,"{'name': 'circle', 'cx': 492, 'cy': 662, 'r': 11}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': '1'}"
b2.jpeg,"{'name': 'circle', 'cx': 502, 'cy': 748, 'r': 13}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b2.jpeg,"{'name': 'circle', 'cx': 543, 'cy': 818, 'r': 8}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b2.jpeg,"{'name': 'circle', 'cx': 308, 'cy': 786, 'r': 14}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b2.jpeg,"{'name': 'circle', 'cx': 312, 'cy': 576, 'r': 9.384}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b3.jpeg,"{'name': 'circle', 'cx': 545, 'cy': 391, 'r': 12}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b3.jpeg,"{'name': 'circle', 'cx': 487, 'cy': 277, 'r': 12.318}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b3.jpeg,"{'name': 'circle', 'cx': 428, 'cy': 686, 'r': 13}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b3.jpeg,"{'name': 'circle', 'cx': 312, 'cy': 773, 'r': 13}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b3.jpeg,"{'name': 'circle', 'cx': 332, 'cy': 816, 'r': 15}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b3.jpeg,"{'name': 'circle', 'cx': 222, 'cy': 732, 'r': 13}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
b3.jpeg,"{'name': 'circle', 'cx': 537, 'cy': 781, 'r': 9}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '1', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
c1.jpeg,"{'name': 'circle', 'cx': 614, 'cy': 425, 'r': 20}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': '', 'Acne': '1'}"
c1.jpeg,"{'name': 'circle', 'cx': 654, 'cy': 479, 'r': 23}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
c1.jpeg,"{'name': 'circle', 'cx': 561, 'cy': 456, 'r': 21}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
c1.jpeg,"{'name': 'circle', 'cx': 761, 'cy': 439, 'r': 23}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '', 'Uneven Skin tone ': '', 'Mole and Tags': '', 'Acne': '1'}"
c1.jpeg,"{'name': 'circle', 'cx': 484, 'cy': 418, 'r': 19}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
c1.jpeg,"{'name': 'circle', 'cx': 518, 'cy': 336, 'r': 19}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
c1.jpeg,"{'name': 'circle', 'cx': 651, 'cy': 322, 'r': 22}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
c1.jpeg,"{'name': 'circle', 'cx': 836, 'cy': 367, 'r': 23}","{'Wrinkels': '', 'Melasma': '', 'Frackels': '', 'Acne scars ': '1', 'Uneven Skin tone ': '', 'Mole and Tags': ''}"
